player_name,team_name,shot_distance,shot_attempted_flag,shot_made_flag,accuracy,shot_type,league_average
Duncan Robinson,Miami Heat,1,5,4,0.8,2s,0.73
Orlando Robinson,Miami Heat,1,15,15,1,2s,0.73
Nikola Jovic,Miami Heat,1,6,4,0.67,2s,0.73
Jamal Cain,Miami Heat,1,13,11,0.85,2s,0.73
Victor Oladipo,Miami Heat,1,22,9,0.41,2s,0.73
Udonis Haslem,Miami Heat,1,1,0,0,2s,0.73
Jamaree Bouyea,Miami Heat,1,1,1,1,2s,0.73
Cody Zeller,Miami Heat,1,14,10,0.71,2s,0.73
Kevin Love,Miami Heat,1,2,2,1,2s,0.73
Omer Yurtseven,Miami Heat,1,3,2,0.67,2s,0.73
Giannis Antetokounmpo,Milwaukee Bucks,1,242,200,0.83,2s,0.73
Bobby Portis,Milwaukee Bucks,1,53,35,0.66,2s,0.73
Jrue Holiday,Milwaukee Bucks,1,81,57,0.7,2s,0.73
George Hill,Milwaukee Bucks,1,14,9,0.64,2s,0.73
Grayson Allen,Milwaukee Bucks,1,46,34,0.74,2s,0.73
Jordan Nwora,Milwaukee Bucks,1,14,6,0.43,2s,0.73
Serge Ibaka,Milwaukee Bucks,1,9,5,0.56,2s,0.73
Brook Lopez,Milwaukee Bucks,1,71,59,0.83,2s,0.73
Wesley Matthews,Milwaukee Bucks,1,7,4,0.57,2s,0.73
Jevon Carter,Milwaukee Bucks,1,23,11,0.48,2s,0.73
MarJon Beauchamp,Milwaukee Bucks,1,16,10,0.63,2s,0.73
Sandro Mamukelashvili,Milwaukee Bucks,1,4,2,0.5,2s,0.73
Pat Connaughton,Milwaukee Bucks,1,26,20,0.77,2s,0.73
Thanasis Antetokounmpo,Milwaukee Bucks,1,13,11,0.85,2s,0.73
Khris Middleton,Milwaukee Bucks,1,15,11,0.73,2s,0.73
AJ Green,Milwaukee Bucks,1,2,1,0.5,2s,0.73
Joe Ingles,Milwaukee Bucks,1,8,5,0.63,2s,0.73
Meyers Leonard,Milwaukee Bucks,1,4,3,0.75,2s,0.73
Lindell Wigginton,Milwaukee Bucks,1,7,6,0.86,2s,0.73
Jae Crowder,Milwaukee Bucks,1,2,2,1,2s,0.73
Goran Dragic,Milwaukee Bucks,1,2,1,0.5,2s,0.73
Anthony Edwards,Minnesota Timberwolves,1,186,134,0.72,2s,0.73
Rudy Gobert,Minnesota Timberwolves,1,156,126,0.81,2s,0.73
Jaylen Nowell,Minnesota Timberwolves,1,72,48,0.67,2s,0.73
Jaden McDaniels,Minnesota Timberwolves,1,82,62,0.76,2s,0.73
Jordan McLaughlin,Minnesota Timberwolves,1,12,9,0.75,2s,0.73
D'Angelo Russell,Minnesota Timberwolves,1,31,23,0.74,2s,0.73
Karl-Anthony Towns,Minnesota Timberwolves,1,40,32,0.8,2s,0.73
Taurean Prince,Minnesota Timberwolves,1,37,24,0.65,2s,0.73
Naz Reid,Minnesota Timberwolves,1,89,69,0.78,2s,0.73
Kyle Anderson,Minnesota Timberwolves,1,48,32,0.67,2s,0.73
Austin Rivers,Minnesota Timberwolves,1,17,12,0.71,2s,0.73
Wendell Moore Jr.,Minnesota Timberwolves,1,4,3,0.75,2s,0.73
Nathan Knight,Minnesota Timberwolves,1,20,16,0.8,2s,0.73
Luka Garza,Minnesota Timberwolves,1,15,13,0.87,2s,0.73
Bryn Forbes,Minnesota Timberwolves,1,1,1,1,2s,0.73
Matt Ryan,Minnesota Timberwolves,1,1,1,1,2s,0.73
Josh Minott,Minnesota Timberwolves,1,3,2,0.67,2s,0.73
Mike Conley,Minnesota Timberwolves,1,9,8,0.89,2s,0.73
Nickeil Alexander-Walker,Minnesota Timberwolves,1,8,4,0.5,2s,0.73
Ben Simmons,Brooklyn Nets,1,39,25,0.64,2s,0.73
Nic Claxton,Brooklyn Nets,1,145,113,0.78,2s,0.73
Kyrie Irving,Brooklyn Nets,1,50,40,0.8,2s,0.73
Day'Ron Sharpe,Brooklyn Nets,1,30,21,0.7,2s,0.73
Royce O'Neale,Brooklyn Nets,1,38,21,0.55,2s,0.73
Joe Harris,Brooklyn Nets,1,28,23,0.82,2s,0.73
Edmond Sumner,Brooklyn Nets,1,29,19,0.66,2s,0.73
Kevin Durant,Brooklyn Nets,1,44,35,0.8,2s,0.73
David Duke Jr.,Brooklyn Nets,1,12,6,0.5,2s,0.73
Yuta Watanabe,Brooklyn Nets,1,20,16,0.8,2s,0.73
Cam Thomas,Brooklyn Nets,1,24,16,0.67,2s,0.73
Seth Curry,Brooklyn Nets,1,9,6,0.67,2s,0.73
Patty Mills,Brooklyn Nets,1,6,6,1,2s,0.73
Kessler Edwards,Brooklyn Nets,1,3,3,1,2s,0.73
Markieff Morris,Brooklyn Nets,1,2,1,0.5,2s,0.73
T.J. Warren,Brooklyn Nets,1,9,7,0.78,2s,0.73
Dru Smith,Brooklyn Nets,1,4,1,0.25,2s,0.73
Dorian Finney-Smith,Brooklyn Nets,1,18,8,0.44,2s,0.73
Spencer Dinwiddie,Brooklyn Nets,1,33,26,0.79,2s,0.73
Cameron Johnson,Brooklyn Nets,1,25,15,0.6,2s,0.73
Mikal Bridges,Brooklyn Nets,1,28,19,0.68,2s,0.73
RaiQuan Gray,Brooklyn Nets,1,2,1,0.5,2s,0.73
RJ Barrett,New York Knicks,1,148,88,0.59,2s,0.73
Mitchell Robinson,New York Knicks,1,65,45,0.69,2s,0.73
Evan Fournier,New York Knicks,1,7,3,0.43,2s,0.73
Cam Reddish,New York Knicks,1,11,7,0.64,2s,0.73
Jalen Brunson,New York Knicks,1,79,50,0.63,2s,0.73
Julius Randle,New York Knicks,1,124,85,0.69,2s,0.73
Obi Toppin,New York Knicks,1,39,26,0.67,2s,0.73
Isaiah Hartenstein,New York Knicks,1,50,31,0.62,2s,0.73
Derrick Rose,New York Knicks,1,12,6,0.5,2s,0.73
Immanuel Quickley,New York Knicks,1,40,31,0.78,2s,0.73
Jericho Sims,New York Knicks,1,24,22,0.92,2s,0.73
Quentin Grimes,New York Knicks,1,61,43,0.7,2s,0.73
Miles McBride,New York Knicks,1,16,10,0.63,2s,0.73
Josh Hart,New York Knicks,1,23,19,0.83,2s,0.73
Paolo Banchero,Orlando Magic,1,98,68,0.69,2s,0.73
Franz Wagner,Orlando Magic,1,108,87,0.81,2s,0.73
Jalen Suggs,Orlando Magic,1,39,24,0.62,2s,0.73
Chuma Okeke,Orlando Magic,1,7,4,0.57,2s,0.73
Wendell Carter Jr.,Orlando Magic,1,56,48,0.86,2s,0.73
Bol Bol,Orlando Magic,1,51,45,0.88,2s,0.73
Cole Anthony,Orlando Magic,1,32,20,0.63,2s,0.73
Mo Bamba,Orlando Magic,1,21,17,0.81,2s,0.73
Caleb Houstan,Orlando Magic,1,11,6,0.55,2s,0.73
Terrence Ross,Orlando Magic,1,4,3,0.75,2s,0.73
R.J. Hampton,Orlando Magic,1,5,4,0.8,2s,0.73
Admiral Schofield,Orlando Magic,1,11,7,0.64,2s,0.73
Kevon Harris,Orlando Magic,1,10,6,0.6,2s,0.73
Gary Harris,Orlando Magic,1,10,6,0.6,2s,0.73
Moritz Wagner,Orlando Magic,1,48,36,0.75,2s,0.73
Markelle Fultz,Orlando Magic,1,84,60,0.71,2s,0.73
Jonathan Isaac,Orlando Magic,1,4,3,0.75,2s,0.73
Goga Bitadze,Orlando Magic,1,14,9,0.64,2s,0.73
Bennedict Mathurin,Indiana Pacers,1,107,74,0.69,2s,0.73
T.J. McConnell,Indiana Pacers,1,55,36,0.65,2s,0.73
Isaiah Jackson,Indiana Pacers,1,75,60,0.8,2s,0.73
Jalen Smith,Indiana Pacers,1,61,48,0.79,2s,0.73
Chris Duarte,Indiana Pacers,1,27,16,0.59,2s,0.73
Tyrese Haliburton,Indiana Pacers,1,65,45,0.69,2s,0.73
Goga Bitadze,Indiana Pacers,1,8,7,0.88,2s,0.73
James Johnson,Indiana Pacers,1,11,8,0.73,2s,0.73
Andrew Nembhard,Indiana Pacers,1,43,31,0.72,2s,0.73
Buddy Hield,Indiana Pacers,1,53,40,0.75,2s,0.73
Aaron Nesmith,Indiana Pacers,1,58,45,0.78,2s,0.73
Myles Turner,Indiana Pacers,1,89,73,0.82,2s,0.73
Oshae Brissett,Indiana Pacers,1,44,27,0.61,2s,0.73
Kendall Brown,Indiana Pacers,1,1,1,1,2s,0.73
Terry Taylor,Indiana Pacers,1,4,3,0.75,2s,0.73
Trevelin Queen,Indiana Pacers,1,2,1,0.5,2s,0.73
Daniel Theis,Indiana Pacers,1,5,4,0.8,2s,0.73
